id,op,dtype,M,N,K,layout,stride,threads,provider,semantic,runtime_ns,gflops,bw_gbps,error,status
118,GEMM,f32,24,24,24,TT,1,4,SIMD_AVX2,reassoc,6917.30,4.00,1.00,0.000000,COMPLETED
119,GEMM,f32,24,24,24,TT,1,12,SIMD_AVX2,reassoc,4450.75,6.21,1.55,0.000000,COMPLETED
120,GEMM,f32,24,24,24,TT,1,24,SIMD_AVX2,reassoc,4732.85,5.84,1.46,0.000000,COMPLETED
121,GEMM,f32,32,32,32,NN,1,1,SIMD_AVX2,reassoc,6964.10,9.41,1.76,0.000000,COMPLETED
122,GEMM,f32,32,32,32,NN,1,1,Eigen3,strict,1257.55,52.11,9.77,0.000000,COMPLETED
123,GEMM,f32,32,32,32,NN,1,4,SIMD_AVX2,reassoc,3247.00,20.18,3.78,0.000000,COMPLETED
124,GEMM,f32,32,32,32,NN,1,4,Eigen3,strict,829.95,78.96,14.81,0.000000,COMPLETED
125,GEMM,f32,32,32,32,NN,1,12,SIMD_AVX2,reassoc,2724.80,24.05,4.51,0.000000,COMPLETED
126,GEMM,f32,32,32,32,NN,1,12,Eigen3,strict,829.85,78.97,14.81,0.000000,COMPLETED
127,GEMM,f32,32,32,32,NN,1,24,SIMD_AVX2,reassoc,3120.55,21.00,3.94,0.000000,COMPLETED
128,GEMM,f32,32,32,32,NN,1,24,Eigen3,strict,1251.90,52.35,9.82,0.000000,COMPLETED
129,GEMM,f32,32,32,32,NT,1,1,SIMD_AVX2,reassoc,47828.65,1.37,0.26,0.000000,COMPLETED
130,GEMM,f32,32,32,32,NT,1,4,SIMD_AVX2,reassoc,13976.75,4.69,0.88,0.000000,COMPLETED
131,GEMM,f32,32,32,32,NT,1,12,SIMD_AVX2,reassoc,7508.75,8.73,1.64,0.000000,COMPLETED
132,GEMM,f32,32,32,32,NT,1,24,SIMD_AVX2,reassoc,6776.80,9.67,1.81,0.000000,COMPLETED
133,GEMM,f32,32,32,32,TN,1,1,SIMD_AVX2,reassoc,6944.25,9.44,1.77,0.000000,COMPLETED
134,GEMM,f32,32,32,32,TN,1,4,SIMD_AVX2,reassoc,2790.75,23.48,4.40,0.000000,COMPLETED
135,GEMM,f32,32,32,32,TN,1,12,SIMD_AVX2,reassoc,2854.15,22.96,4.31,0.000000,COMPLETED
136,GEMM,f32,32,32,32,TN,1,24,SIMD_AVX2,reassoc,3379.35,19.39,3.64,0.000000,COMPLETED
137,GEMM,f32,32,32,32,TT,1,1,SIMD_AVX2,reassoc,48037.05,1.36,0.26,0.000000,COMPLETED
138,GEMM,f32,32,32,32,TT,1,4,SIMD_AVX2,reassoc,14696.95,4.46,0.84,0.000000,COMPLETED
139,GEMM,f32,32,32,32,TT,1,12,SIMD_AVX2,reassoc,7846.65,8.35,1.57,0.000000,COMPLETED
140,GEMM,f32,32,32,32,TT,1,24,SIMD_AVX2,reassoc,6714.60,9.76,1.83,0.000000,COMPLETED
141,GEMM,f32,48,48,48,NN,1,1,SIMD_AVX2,reassoc,20047.55,11.03,1.38,0.000000,COMPLETED
142,GEMM,f32,48,48,48,NN,1,1,Eigen3,strict,3630.70,60.92,7.62,0.000000,COMPLETED
143,GEMM,f32,48,48,48,NN,1,4,SIMD_AVX2,reassoc,6983.35,31.67,3.96,0.000000,COMPLETED
144,GEMM,f32,48,48,48,NN,1,4,Eigen3,strict,3746.40,59.04,7.38,0.000000,COMPLETED
145,GEMM,f32,48,48,48,NN,1,12,SIMD_AVX2,reassoc,4083.10,54.17,6.77,0.000000,COMPLETED
146,GEMM,f32,48,48,48,NN,1,12,Eigen3,strict,4760.10,46.47,5.81,0.000000,COMPLETED
147,GEMM,f32,48,48,48,NN,1,24,SIMD_AVX2,reassoc,4290.35,51.55,6.44,0.000000,COMPLETED
148,GEMM,f32,48,48,48,NN,1,24,Eigen3,strict,5018.30,44.08,5.51,0.000000,COMPLETED
149,GEMM,f32,48,48,48,NT,1,1,SIMD_AVX2,reassoc,120088.65,1.84,0.23,0.000000,COMPLETED
150,GEMM,f32,48,48,48,NT,1,4,SIMD_AVX2,reassoc,17390.25,12.72,1.59,0.000000,COMPLETED
151,GEMM,f32,48,48,48,NT,1,12,SIMD_AVX2,reassoc,13528.55,16.35,2.04,0.000000,COMPLETED
152,GEMM,f32,48,48,48,NT,1,24,SIMD_AVX2,reassoc,15772.35,14.02,1.75,0.000000,COMPLETED
153,GEMM,f32,48,48,48,TN,1,1,SIMD_AVX2,reassoc,20304.60,10.89,1.36,0.000000,COMPLETED
154,GEMM,f32,48,48,48,TN,1,4,SIMD_AVX2,reassoc,7360.80,30.05,3.76,0.000000,COMPLETED
155,GEMM,f32,48,48,48,TN,1,12,SIMD_AVX2,reassoc,4577.75,48.32,6.04,0.000000,COMPLETED
156,GEMM,f32,48,48,48,TN,1,24,SIMD_AVX2,reassoc,4828.75,45.81,5.73,0.000000,COMPLETED
157,GEMM,f32,48,48,48,TT,1,1,SIMD_AVX2,reassoc,130345.40,1.70,0.21,0.000000,COMPLETED
158,GEMM,f32,48,48,48,TT,1,4,SIMD_AVX2,reassoc,55664.90,3.97,0.50,0.000000,COMPLETED
159,GEMM,f32,48,48,48,TT,1,12,SIMD_AVX2,reassoc,21229.25,10.42,1.30,0.000000,COMPLETED
160,GEMM,f32,48,48,48,TT,1,24,SIMD_AVX2,reassoc,15911.95,13.90,1.74,0.000000,COMPLETED
161,GEMM,f32,64,64,64,NN,1,1,SIMD_AVX2,reassoc,29237.35,17.93,1.68,0.000000,COMPLETED
162,GEMM,f32,64,64,64,NN,1,1,Eigen3,strict,5331.60,98.34,9.22,0.000000,COMPLETED
163,GEMM,f32,64,64,64,NN,1,4,SIMD_AVX2,reassoc,14434.35,36.32,3.41,0.000000,COMPLETED
164,GEMM,f32,64,64,64,NN,1,4,Eigen3,strict,6437.90,81.44,7.63,0.000000,COMPLETED
165,GEMM,f32,64,64,64,NN,1,12,SIMD_AVX2,reassoc,7967.50,65.80,6.17,0.000000,COMPLETED
